iso,SID,P_2019,GR_SID,area
vnm,712,1779,46,4037
vnm,699,2216,46,4673
vnm,709,1905,46,2722
vnm,710,1899,46,7665
vnm,698,3095,46,4057
vnm,707,2222,46,5041
vnm,713,1457,46,5030
vnm,714,831,46,3033
vnm,706,3132,46,4721
vnm,702,1835,46,5053
vnm,708,1393,46,3126
vnm,700,1351,46,3900
vnm,697,3728,46,10788
vnm,715,1423,46,4571
vnm,717,1965,46,3614
vnm,704,1603,46,6385
vnm,705,1245,46,6306
vnm,731,1316,47,3486
vnm,724,2818,47,7509
vnm,718,2401,47,276
vnm,722,2099,47,5167
vnm,721,1620,47,5425
vnm,730,2767,47,5671
vnm,725,3995,47,7219
vnm,727,1699,47,2938
vnm,733,3566,47,6264
vnm,719,1507,47,7940
vnm,729,2056,47,3503
vnm,723,2525,47,5195
vnm,720,2368,47,3741
vnm,726,2700,47,5813
vnm,732,3050,47,2573
vnm,728,1759,47,3435
vnm,744,934,48,2809
vnm,747,2509,48,7936
vnm,748,2017,48,7598
vnm,740,1577,48,2277
vnm,754,2383,48,9916
vnm,752,1515,48,4675
vnm,750,1323,48,2882
vnm,749,1351,48,3054
vnm,738,1601,48,9688
vnm,742,2228,48,6991
vnm,736,1587,48,4265
vnm,745,1775,48,2859
vnm,755,1259,48,5718
vnm,741,1521,48,2277
vnm,743,1026,48,2223
vnm,737,1880,48,4765
vnm,751,1425,48,5752
vnm,739,1014,48,1907
vnm,746,1121,48,4813
vnm,735,1600,48,10119
vnm,753,2039,48,4466
vnm,734,3835,48,534
vnm,670,2775,44,8409
vnm,671,2348,44,8343
vnm,673,1402,44,3547
vnm,678,1168,44,2939
vnm,676,2606,44,3560
vnm,668,6272,44,7928
vnm,677,2148,44,6791
vnm,669,1960,44,8395
vnm,675,2984,44,20325
vnm,672,1316,44,4825
vnm,674,3615,44,6470
vnm,648,1359,42,4171
vnm,642,3702,42,10997
vnm,644,4754,42,6717
vnm,649,4064,42,5053
vnm,651,3976,42,5216
vnm,645,3002,42,6698
vnm,646,1822,42,3863
vnm,650,5396,42,7327
vnm,643,2085,42,5286
vnm,647,2788,42,5020
vnm,636,8485,41,728
vnm,639,2906,41,3181
vnm,638,4703,41,3473
vnm,634,5167,41,149
vnm,640,3472,41,2724
vnm,637,6365,41,420
vnm,635,8722,41,479
vnm,641,2999,41,6003
vnm,3156,20164,182,561
vnm,3151,7999,182,80
vnm,3206,8287,182,611
vnm,3167,12373,182,892
vnm,3204,14160,182,847
vnm,3174,4097,182,251
vnm,3181,5606,182,517
vnm,3153,13287,182,230
vnm,3191,29125,182,1366
vnm,3157,9899,182,117
vnm,3177,11108,182,583
vnm,3158,7932,182,150
vnm,3152,13367,182,182
vnm,3155,5940,182,42
vnm,3171,10903,182,434
vnm,3154,6097,182,56
